Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FEB-JUL
 01/09  21 ,19.08333333,29,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/09  22 ,18.33333333,30.33333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/09  23 ,17.96666667,30.83333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/09  24 ,17.83333333,30.83333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/10  01 ,17.85,30.16666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/10  02 ,16.71666667,32.33333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/10  03 ,16.08333333,32.83333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/10  04 ,15.43333333,34.16666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/10  05 ,14.83333333,34.66666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/10  06 ,14.13333333,37.16666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/10  07 ,13.68333333,38.16666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/10  08 ,14.2,33,19.99843333,62.73333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/10  09 ,16.53333333,30.16666667,70.90905,422.1833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/10  10 ,19.86666667,26.16666667,111.39925,616.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/10  11 ,20.28333333,25.83333333,143.7548333,723.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/10  12 ,21.68333333,24.83333333,157.3641667,794.1666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/10  13 ,23.25,23.33333333,161.2959333,827.6666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/10  14 ,25.33333333,19.66666667,167.6734833,823.6666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/10  15 ,26.25,18,173.5822833,771.4666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
